Date,Open,High,Low,Close,Adj Close,Volume
2010-06-09,6.193050,6.232210,6.131520,6.213830,2.965097,1979719
2010-06-10,6.280950,6.292940,6.233000,6.237000,2.976154,3231122
2010-06-11,6.233000,6.233000,6.193050,6.205830,2.961280,182705
2010-06-14,6.286940,6.293340,6.208230,6.233400,2.974436,327868
2010-06-15,6.233000,6.352870,6.233000,6.348870,3.029534,232761
2010-06-16,6.342480,6.432780,6.342480,6.392820,3.050507,415466
2010-06-17,6.411200,6.431580,6.295330,6.431580,3.069002,337879
2010-06-18,6.392820,6.424390,6.314510,6.424390,3.065572,4605
2010-06-21,6.468740,6.534670,6.397220,6.452760,3.079109,573143
2010-06-22,6.452760,6.571820,6.452760,6.566630,3.133445,1709416
2010-06-23,6.526280,6.542260,6.457150,6.477930,3.091120,978597
2010-06-24,6.588610,6.588610,6.352870,6.352870,3.031444,3065937
2010-06-25,6.344480,6.544650,6.344480,6.393220,3.050698,1594287
2010-06-28,6.548250,6.592600,6.375240,6.587010,3.143170,5783984
2010-06-29,6.529070,6.529070,6.361660,6.361660,3.035638,1781998
2010-06-30,6.362860,6.423990,6.153490,6.233000,2.974244,1041167
2010-07-01,6.264970,6.264970,6.061600,6.143110,2.931351,415466
2010-07-02,6.153090,6.233000,6.153090,6.185060,2.951369,470528
2010-07-05,6.213030,6.213030,6.113140,6.113140,2.917050,125140
2010-07-06,6.153090,6.336490,6.153090,6.258980,2.986642,703288
2010-07-07,6.252580,6.352870,6.244190,6.300130,3.006277,2640460
2010-07-08,6.347680,6.396820,6.332890,6.396820,3.052415,2828171
2010-07-12,6.194650,6.352870,6.194650,6.312910,3.012376,1802
2010-07-13,6.320910,6.370850,6.320910,6.354870,3.032398,1158799
2010-07-14,6.356870,6.380440,6.352870,6.376440,3.042691,1146285
2010-07-15,6.315310,6.409210,6.314110,6.392430,3.050321,1333996
2010-07-16,6.432780,6.552650,6.412800,6.433580,3.069956,620696
2010-07-19,6.452760,6.535460,6.452760,6.535460,3.118571,245275
2010-07-20,6.478330,6.540660,6.456350,6.540660,3.121052,698283
2010-07-21,6.531470,6.540660,6.472740,6.472740,3.088643,187710
2010-07-22,6.591800,6.620570,6.525480,6.612580,3.155371,620696
2010-07-23,6.619770,6.632560,6.512690,6.512690,3.107706,442997
2010-07-26,6.493110,6.532670,6.473130,6.473130,3.088829,573143
2010-07-27,6.473130,6.548250,6.473130,6.500700,3.101986,625701
2010-07-28,6.493110,6.591000,6.483120,6.521480,3.111901,595668
2010-07-29,6.521480,6.591800,6.513090,6.513090,3.107897,563131
2010-07-30,6.513090,6.552250,6.500300,6.521880,3.112092,240269
2010-08-02,6.533070,6.696880,6.269360,6.559040,3.129823,2440236
2010-08-03,6.559040,6.559040,6.466740,6.512690,3.107706,463019
2010-08-04,6.512690,6.520280,6.472740,6.486720,3.095314,770864
2010-08-05,6.467540,6.511090,6.312910,6.433180,3.069766,928541
2010-08-06,6.418400,6.418400,6.312910,6.389630,3.048985,710797
2010-08-09,6.385230,6.392820,6.316910,6.377240,3.043073,272806
2010-08-10,6.304920,6.346880,6.260970,6.346880,3.028585,463019
2010-08-11,6.261370,6.316110,6.253380,6.276960,2.995221,432985
2010-08-12,6.213030,6.328500,6.193050,6.317310,3.014476,800898
2010-08-13,6.317310,6.343680,6.261370,6.272960,2.993313,1256409
2010-08-16,6.332490,6.475530,6.304520,6.414800,3.060995,1168810
2010-08-17,6.414800,6.590200,6.392820,6.548250,3.124674,1098732
